"","dateTime8601","Instrument","Action","Station","Cast","Latitude","Longitude","Comment","Cruise"
"1","2019-02-01 16:00:14+00:00","Ship","startCruise","","",41.5863,-71.4091,"","EN627"
"2","2019-02-01 16:01:51+00:00","Echosounder12","start","","",41.5861,-71.4088,"","EN627"
"3","2019-02-01 16:02:20+00:00","UHDAS for both ADCPs","start","","",41.5858,-71.4083,"","EN627"
"4","2019-02-01 16:02:49+00:00","ADCP300","start","","",41.5858,-71.4083,"","EN627"
"5","2019-02-01 16:03:26+00:00","ADCP75","start","","",41.5857,-71.4074,"","EN627"
"6","2019-02-01 16:04:11+00:00","Underway Science seawater impeller","start","","",41.5854,-71.4065,"","EN627"
"7","2019-02-01 16:22:02+00:00","Underway Science seawater diaphragm pump","start","","",41.5588,-71.3927,"","EN627"
"8","2019-02-01 16:23:34+00:00","Thermosalinographs on underway impeller","start","","",41.5562,-71.3929,"SBE45","EN627"
"9","2019-02-01 16:42:46+00:00","IFCB continuous","start","","",41.5081,-71.4087,"","EN627"
"10","2019-02-01 17:07:00+00:00","EIMS","start","","",41.4437,-71.4122,"","EN627"
"11","2019-02-01 17:07:58+00:00","Attune Flow Cytometer","start","","",41.4407,-71.4125,"","EN627"
"12","2019-02-01 20:12:47+00:00","Echosounder12","other","","",41.1954,-70.8825,"RESET RANGE TO BETTER READ BOTTOM DEPTH","EN627"
"13","2019-02-01 21:05:30+00:00","CTD911","deploy","L1","2",41.19766667,-70.88283333,"","EN627"
"14","2019-02-01 21:39:15+00:00","CTD911","deploy","L1","3",41.197,-70.88183333,"","EN627"
"15","2019-02-01 22:11:53+00:00","BucketSample","start","L1","",41.1981,-70.8794,"bucket sample for Alexa Sterling","EN627"
"16","2019-02-01 22:54:58+00:00","Bongo Net","deploy","L1","B03",41.1969,-70.8787,"Most recent profile data is cast 3; Incomplete sample only kept 2 size fractions from 20um net","EN627"
"17","2019-02-01 22:59:59+00:00","Bongo Net","recover","L1","B03",41.1956,-70.8814,"hit bottom; 150 net and 335 net with sand; no sample in either. Sample recovered from 20um net; two size fractions","EN627"
"18","2019-02-01 23:10:00+00:00","Incubation","start","L1","",41.1926,-70.8857,"surface incubated at 65% and 15% light","EN627"
"19","2019-02-02 01:25:00+00:00","Underway Science seawater diaphragm pump","TOI discrete","","",41.0309,-70.6681,"","EN627"
"20","2019-02-02 01:43:00+00:00","Underway Science seawater diaphragm pump","TOI discrete","","",41.0328,-70.7264,"","EN627"
"21","2019-02-02 02:18:32+00:00","CTD911","deploy","u2a","5",41.02866667,-70.7635,"","EN627"
"22","2019-02-02 03:00:00+00:00","Underway Science seawater diaphragm pump","TOI discrete","","",41.0263,-70.8352,"","EN627"
"23","2019-02-02 03:15:00+00:00","Underway Science seawater diaphragm pump","TOI discrete","L2","",41.0283,-70.8862,"","EN627"
"24","2019-02-02 03:34:00+00:00","Underway Science seawater diaphragm pump","TOI discrete","","",41.0273,-70.9367,"","EN627"
"25","2019-02-02 04:03:51+00:00","CTD911","deploy","d2a","6",41.0255,-70.99033333,"","EN627"
"26","2019-02-02 04:56:00+00:00","Underway Science seawater diaphragm pump","TOI discrete","","",41.0066,-71.0562,"","EN627"
"27","2019-02-02 05:12:00+00:00","Underway Science seawater diaphragm pump","TOI discrete","","",41.0277,-71.1026,"","EN627"
"28","2019-02-02 06:29:33+00:00","CTD911","deploy","L2","7",41.02816667,-70.8815,"","EN627"
"29","2019-02-02 06:43:00+00:00","Underway Science seawater diaphragm pump","TOI discrete","L2","",41.0256,-70.8791,"in duplicate","EN627"
"30","2019-02-02 07:43:19+00:00","Bongo Net","deploy","L2","",41.0296,-70.8801,"NETS HIT BOTTOM AND COLLECTED SAND; NO SAMPLE SAVED; FOLLOWING THIS WITH WINCH WIRE SPEED CALIBRATION","EN627"
"31","2019-02-02 08:11:23+00:00","Other","start","","",41.0284,-70.8862,"WINCH WIRE OUT CALIBRATION; BONGO IN WATER WITH NO COD ENDS TO RINSE","EN627"
"32","2019-02-02 08:31:43+00:00","Bongo Net","deploy","L2","B07",41.0226,-70.8842,"SECOND ATTEMPT FOR B07","EN627"
"33","2019-02-02 10:02:19+00:00","CTD911","deploy","L3","8",40.86333333,-70.8845,"","EN627"
"34","2019-02-02 10:43:38+00:00","Bongo Net","deploy","L3","B08",40.8625,-70.8819,"","EN627"
"35","2019-02-02 10:49:48+00:00","Bongo Net","recover","L3","B08",40.8636,-70.8852,"","EN627"
"36","2019-02-02 11:20:00+00:00","Incubation","start","L3","",40.8525,-70.883,"surface incubated at 65% and 15% light","EN627"
"37","2019-02-02 14:29:00+00:00","Underway Science seawater diaphragm pump","TOI discrete","","",40.6957,-70.6663,"","EN627"
"38","2019-02-02 14:45:00+00:00","Underway Science seawater diaphragm pump","TOI discrete","","",40.6975,-70.7168,"","EN627"
"39","2019-02-02 15:14:29+00:00","CTD911","deploy","u4a","9",40.6935,-70.76933333,"","EN627"
"40","2019-02-02 15:53:00+00:00","Underway Science seawater diaphragm pump","TOI discrete","","",40.6896,-70.8254,"","EN627"
"41","2019-02-02 16:08:00+00:00","Underway Science seawater diaphragm pump","TOI discrete","","",40.6904,-70.881,"","EN627"
"42","2019-02-02 16:25:00+00:00","Underway Science seawater diaphragm pump","TOI discrete","","",40.6938,-70.9402,"","EN627"
"43","2019-02-02 16:40:34+00:00","UHDAS for both ADCPs","stop","","",40.6978,-70.9908,"","EN627"
"44","2019-02-02 16:44:00+00:00","UHDAS for both ADCPs","start","","",40.6962,-70.9917,"","EN627"
"45","2019-02-02 16:57:08+00:00","CTD911","deploy","d4a","10",40.6945,-70.9875,"","EN627"
"46","2019-02-02 17:10:04+00:00","Other","other","","",40.693868,-70.98368,"test for Cindy Sellers","EN627"
"47","2019-02-02 17:36:00+00:00","Underway Science seawater diaphragm pump","TOI discrete","","",40.695273,-71.05341,"","EN627"
"48","2019-02-02 17:51:00+00:00","Underway Science seawater diaphragm pump","TOI discrete","","",40.696232,-71.106715,"","EN627"
"49","2019-02-02 17:51:30+00:00","Fluorometers on underway impeller","start","","",40.69529,-71.107765,"model FLRTD serial number 492","EN627"
"50","2019-02-02 17:57:00+00:00","Underway Science seawater impeller","chl discrete","","",40.69251,-71.093628,"","EN627"
"51","2019-02-02 19:03:33+00:00","CTD911","deploy","L4","11",40.69466667,-70.88116667,"","EN627"
"52","2019-02-02 19:59:59+00:00","CTD911","deploy","L4","12",40.6975,-70.88283333,"","EN627"
"53","2019-02-02 20:12:04+00:00","Underway Science seawater diaphragm pump","TOI discrete","L4","",40.698072,-70.878508,"In Duplicate","EN627"
"54","2019-02-02 20:35:34+00:00","Bongo Net","deploy","L4","B12",40.694892,-70.87184,"","EN627"
"55","2019-02-02 20:45:19+00:00","Bongo Net","recover","L4","B12",40.690232,-70.872432,"","EN627"
"56","2019-02-02 20:57:00+00:00","Incubation","start","L4","",40.6844,-70.8738,"surface incubated at 65% and 15% light","EN627"
"57","2019-02-02 23:25:00+00:00","Incubation","stop","L1","",40.509053,-70.880658,"","EN627"
"58","2019-02-02 23:26:40+00:00","CTD911","deploy","L5","13",40.50866667,-70.8805,"","EN627"
"59","2019-02-03 03:07:00+00:00","Underway Science seawater impeller","chl discrete","","",40.356063,-70.921327,"","EN627"
"60","2019-02-03 03:46:31+00:00","SUNAV2","other","","",40.350842,-70.888725,"change deployment cable, flip battery housing orientation 180","EN627"
"61","2019-02-03 04:59:00+00:00","Underway Science seawater diaphragm pump","TOI discrete","","",40.362013,-70.663247,"","EN627"
"62","2019-02-03 05:23:00+00:00","Underway Science seawater diaphragm pump","TOI discrete","","",40.363003,-70.722117,"","EN627"
"63","2019-02-03 06:10:40+00:00","CTD911","deploy","u6a","14",40.3545,-70.76383333,"","EN627"
"64","2019-02-03 07:10:00+00:00","Underway Science seawater diaphragm pump","TOI discrete","","",40.36121,-70.840018,"","EN627"
"65","2019-02-03 07:27:04+00:00","Underway Science seawater diaphragm pump","TOI discrete","L6","",40.363128,-70.886137,"","EN627"
"66","2019-02-03 07:48:00+00:00","Underway Science seawater impeller","TOI discrete","","",40.362837,-70.942322,"","EN627"
"67","2019-02-03 07:53:00+00:00","EIMS","other","","",40.363172,-70.955668,"Switched from diaphragm to impeller pump","EN627"
"68","2019-02-03 08:18:28+00:00","CTD911","deploy","d6a","15",40.362,-70.99466667,"","EN627"
"69","2019-02-03 09:00:00+00:00","Underway Science seawater impeller","TOI discrete","","",40.360382,-71.058425,"","EN627"
"70","2019-02-03 10:47:27+00:00","CTD911","deploy","L6","16",40.36233333,-70.88733333,"","EN627"
"71","2019-02-03 11:00:00+00:00","Underway Science seawater impeller","chl discrete","","",40.363288,-70.890455,"","EN627"
"72","2019-02-03 11:06:00+00:00","Underway Science seawater impeller","other","L6","",40.363932,-70.892283,"Salt Sample","EN627"
"73","2019-02-03 11:33:34+00:00","Bongo Net","deploy","L6","B16",40.364375,-70.89299,"","EN627"
"74","2019-02-03 11:35:00+00:00","Incubation","stop","L3","",40.364775,-70.893945,"","EN627"
"75","2019-02-03 11:45:19+00:00","Bongo Net","recover","L6","B16",40.36728,-70.899867,"","EN627"
"76","2019-02-03 13:51:21+00:00","CTD911","deploy","L7","17",40.22816667,-70.88733333,"","EN627"
"77","2019-02-03 14:31:34+00:00","Bongo Net","deploy","L7","B17",40.227492,-70.889165,"added 2 minutes to account for fixing orientation of 20 um net; these during two minutes bongo was sampling surface water","EN627"
"78","2019-02-03 14:50:12+00:00","Bongo Net","recover","L7","B17",40.223787,-70.898028,"","EN627"
"79","2019-02-03 16:53:50+00:00","CTD911","deploy","L8","18",40.13566667,-70.76783333,"","EN627"
"80","2019-02-03 17:42:37+00:00","CTD911","deploy","L8","19",40.135,-70.76383333,"","EN627"
"81","2019-02-03 18:08:04+00:00","Underway Science seawater impeller","TOI discrete","L8","",40.134917,-70.762293,"In Duplicate","EN627"
"82","2019-02-03 18:44:06+00:00","Incubation","start","L8","",40.125538,-70.764515,"surface incubated at 65% and 15% light","EN627"
"83","2019-02-03 18:56:34+00:00","Bongo Net","deploy","L8","B19",40.120472,-70.766567,"Updated time to start of re-do cast--hit bottom on first cast","EN627"
"84","2019-02-03 19:12:04+00:00","Bongo Net","recover","L8","B19",40.115012,-70.76863,"","EN627"
"85","2019-02-03 19:40:00+00:00","Underway Science seawater impeller","chl discrete","","",40.101143,-70.852063,"","EN627"
"86","2019-02-03 20:57:04+00:00","Underway Science seawater impeller","TOI discrete","u9b","",40.096837,-70.661562,"","EN627"
"87","2019-02-03 20:59:49+00:00","Incubation","stop","L4","",40.097368,-70.67169,"end of L4 incubation","EN627"
"88","2019-02-03 21:11:04+00:00","Underway Science seawater impeller","TOI discrete","","",40.098425,-70.713837,"","EN627"
"89","2019-02-03 21:43:32+00:00","CTD911","deploy","u9a","20",40.09916667,-70.77133333,"","EN627"
"90","2019-02-03 22:05:00+00:00","Underway Science seawater impeller","chl discrete","","",40.101812,-70.770595,"","EN627"
"91","2019-02-03 22:31:00+00:00","Underway Science seawater impeller","TOI discrete","","",40.100272,-70.824063,"","EN627"
"92","2019-02-03 22:46:04+00:00","Underway Science seawater impeller","TOI discrete","L9","",40.099905,-70.880795,"","EN627"
"93","2019-02-03 23:01:00+00:00","Underway Science seawater impeller","TOI discrete","","",40.098538,-70.935633,"","EN627"
"94","2019-02-03 23:29:26+00:00","CTD911","deploy","d9a","21",40.09866667,-70.99116667,"","EN627"
"95","2019-02-04 00:27:00+00:00","Underway Science seawater impeller","TOI discrete","","",40.099412,-71.050107,"","EN627"
"96","2019-02-04 00:42:04+00:00","Underway Science seawater impeller","TOI discrete","d9b","",40.09871,-71.101085,"","EN627"
"97","2019-02-04 01:52:59+00:00","CTD911","deploy","L9","22",40.098,-70.8855,"","EN627"
"98","2019-02-04 02:28:04+00:00","Bongo Net","deploy","L9","",40.100357,-70.876457,"tow stopped; meter block malfunctioning NO SAMPLE SAVED","EN627"
"99","2019-02-04 02:31:04+00:00","Bongo Net","recover","L9","",40.101997,-70.876555,"No sample","EN627"
"100","2019-02-04 02:48:49+00:00","Bongo Net","deploy","L9","B22",40.104692,-70.878587,"","EN627"
"101","2019-02-04 03:07:04+00:00","Bongo Net","recover","L9","B22",40.112435,-70.87423,"","EN627"
"102","2019-02-04 05:35:45+00:00","CTD911","deploy","L10","23",39.93566667,-70.88283333,"","EN627"
"103","2019-02-04 06:40:45+00:00","CTD911","deploy","L10","24",39.9395,-70.883,"","EN627"
"104","2019-02-04 06:45:00+00:00","Underway Science seawater impeller","chl discrete","","",39.939402,-70.883445,"","EN627"
"105","2019-02-04 07:39:04+00:00","Bongo Net","deploy","L10","B24",39.938198,-70.884807,"","EN627"
"106","2019-02-04 08:00:00+00:00","Incubation","start","L10","",39.943435,-70.877867,"surface incubated at 65% and 15% light","EN627"
"107","2019-02-04 08:05:04+00:00","Bongo Net","recover","L10","B24",39.944832,-70.876267,"","EN627"
"108","2019-02-04 10:36:19+00:00","Bongo Net","deploy","L11","B25",39.77296,-70.883958,"extra 3 minutes at surface to untwist 20 um net upon deployment","EN627"
"109","2019-02-04 11:13:19+00:00","Bongo Net","recover","L11","B25",39.791038,-70.883995,"","EN627"
"110","2019-02-04 11:38:12+00:00","CTD911","deploy","L11","25",39.77516667,-70.885,"","EN627"
"111","2019-02-04 12:47:43+00:00","CTD911","deploy","L11","26",39.77466667,-70.8835,"","EN627"
"112","2019-02-04 13:30:04+00:00","Incubation","start","L11","",39.778078,-70.892842,"first of 2 incubations at L11","EN627"
"113","2019-02-04 14:49:04+00:00","Underway Science seawater impeller","TOI discrete","","",39.774583,-70.662593,"","EN627"
"114","2019-02-04 14:55:00+00:00","Underway Science seawater impeller","chl discrete","","",39.774342,-70.684165,"","EN627"
"115","2019-02-04 15:05:00+00:00","Underway Science seawater impeller","TOI discrete","","",39.773567,-70.720445,"","EN627"
"116","2019-02-04 15:27:50+00:00","CTD911","deploy","u11a","27",39.774,-70.77383333,"","EN627"
"117","2019-02-04 16:20:00+00:00","Underway Science seawater impeller","TOI discrete","","",39.771582,-70.830907,"","EN627"
"118","2019-02-04 16:34:00+00:00","Underway Science seawater impeller","TOI discrete","L11","",39.772195,-70.882282,"","EN627"
"119","2019-02-04 16:45:00+00:00","Underway Science seawater impeller","chl discrete","","",39.773822,-70.92293,"","EN627"
"120","2019-02-04 16:49:00+00:00","Underway Science seawater impeller","TOI discrete","","",39.774323,-70.937865,"","EN627"
"121","2019-02-04 17:17:40+00:00","CTD911","deploy","d11a","28",39.77483333,-70.99133333,"","EN627"
"122","2019-02-04 18:05:00+00:00","Underway Science seawater impeller","chl discrete","","",39.770905,-71.012735,"","EN627"
"123","2019-02-04 18:15:00+00:00","Underway Science seawater impeller","TOI discrete","","",39.773425,-71.050365,"","EN627"
"124","2019-02-04 18:29:04+00:00","Underway Science seawater impeller","TOI discrete","","",39.774667,-71.103722,"","EN627"
"125","2019-02-04 18:30:04+00:00","Incubation","stop","L8","",39.777008,-71.105195,"","EN627"
"126","2019-02-04 19:33:19+00:00","Bongo Net","other","L11","",39.77275,-70.88184,"Flowmeter Calibration 1 Start","EN627"
"127","2019-02-04 20:14:19+00:00","Bongo Net","other","L11","",39.765645,-70.860492,"Flowmeter Calibration 1 End","EN627"
"128","2019-02-04 20:25:49+00:00","Bongo Net","other","L11","",39.763642,-70.859907,"Flowmeter Calibration 2 Start","EN627"
"129","2019-02-04 20:36:19+00:00","Bongo Net","other","L11","",39.76604,-70.866005,"Flowmeter Calibration 2 End","EN627"
"130","2019-02-04 20:45:34+00:00","Underway Science seawater diaphragm pump","IFCB discrete","","UW1",39.769342,-70.87015,"IFCB102 collected from top of overflow bottle","EN627"
"131","2019-02-04 22:35:00+00:00","Underway Science seawater impeller","chl discrete","","",39.770577,-70.623918,"","EN627"
"132","2019-02-04 22:47:34+00:00","RMT10 Midwater Trawl (Tucker-style)","deploy","u11c","MWT28",39.771943,-70.604007,"THIS SHOULD BE ASSOCIATED TO CTD CAST 29 at u11c; CTD cast 28 was at d11a several hours prior to the trawl deployment","EN627"
"133","2019-02-04 23:34:09+00:00","Underway Science seawater diaphragm pump","IFCB discrete","","UW2",39.77314,-70.585512,"IFCB102 collected from top of overflow bottle","EN627"
"134","2019-02-04 23:39:34+00:00","RMT10 Midwater Trawl (Tucker-style)","other","u11c","",39.773327,-70.583588,"At max depth; 1337 wire out at 30 deg angle (went down at 30/min); waiting a bit at depth to retrieve to let it kite up; retrieved at 15/min to le","EN627"
"135","2019-02-05 01:30:04+00:00","RMT10 Midwater Trawl (Tucker-style)","recover","u11c","",39.77515,-70.52838,"","EN627"
"136","2019-02-05 02:42:06+00:00","CTD911","deploy","u11c","29",39.77466667,-70.5215,"","EN627"
"137","2019-02-05 03:38:19+00:00","Bongo Net","deploy","u11c","B29",39.78149,-70.527048,"","EN627"
"138","2019-02-05 04:09:19+00:00","Bongo Net","recover","u11c","B29",39.794687,-70.524907,"","EN627"
"139","2019-02-05 06:13:37+00:00","CTD911","deploy","L11","30",39.77516667,-70.88466667,"","EN627"
"140","2019-02-05 06:37:00+00:00","Underway Science seawater impeller","chl discrete","","",39.778645,-70.885897,"","EN627"
"141","2019-02-05 06:40:00+00:00","Underway Science seawater impeller","TOI discrete","L11","",39.77903,-70.885985,"","EN627"
"142","2019-02-05 06:40:04+00:00","Underway Science seawater impeller","TOI discrete","L11","",39.77903,-70.885985,"","EN627"
"143","2019-02-05 07:24:04+00:00","CTD911","deploy","L10.5","31",39.8595,-70.88466667,"","EN627"
"144","2019-02-05 07:30:00+00:00","Incubation","start","L11","",39.860983,-70.884445,"surface water; <200 and no pre-filter; second time at L11","EN627"
"145","2019-02-05 07:51:00+00:00","Underway Science seawater impeller","TOI discrete","L10.5","",39.86279,-70.882592,"in duplicate","EN627"
"146","2019-02-05 07:51:19+00:00","Underway Science seawater diaphragm pump","other","","",39.862808,-70.882572,"Adjusted flow; appeared to be decreased","EN627"
"147","2019-02-05 08:00:00+00:00","Incubation","stop","L10","",39.866262,-70.881078,"","EN627"
"148","2019-02-05 08:33:28+00:00","CTD911","deploy","L10","32",39.94266667,-70.88166667,"","EN627"
"149","2019-02-05 09:43:44+00:00","CTD911","deploy","L12","33",39.9385,-70.7745,"","EN627"
"150","2019-02-05 11:34:40+00:00","CTD911","deploy","L9.5","34",40.02083333,-70.8815,"","EN627"
"151","2019-02-05 12:15:00+00:00","Underway Science seawater impeller","chl discrete","","",40.067757,-70.88224,"","EN627"
"152","2019-02-05 12:32:13+00:00","CTD911","deploy","L9","35",40.1005,-70.88733333,"","EN627"
"153","2019-02-05 12:45:00+00:00","Underway Science seawater impeller","other","L9","",40.10352,-70.887622,"Salt Sample","EN627"
"154","2019-02-05 13:30:04+00:00","Incubation","stop","L11","",40.163333,-70.882697,"stop of the first incubation at L11","EN627"
"155","2019-02-05 13:34:48+00:00","CTD911","deploy","L7.5","36",40.165,-70.88266667,"","EN627"
"156","2019-02-05 14:38:37+00:00","CTD911","deploy","L7","37",40.22733333,-70.884,"","EN627"
"157","2019-02-05 14:59:49+00:00","Other","other","L7","37",40.240262,-70.883955,"Test comparing RStanley's Aandera AADI optode readout (componenet of EIMS) to URI SBE43s on rosette. Also compares SSW Impeller to surface Niskin Water","EN627"
"158","2019-02-05 15:59:34+00:00","CTD911","deploy","L6","38",40.36416667,-70.88883333,"","EN627"
"159","2019-02-05 17:12:27+00:00","CTD911","deploy","L13","39",40.365,-70.77883333,"","EN627"
"160","2019-02-05 19:04:42+00:00","CTD911","deploy","L5","40",40.51316667,-70.88466667,"","EN627"
"161","2019-02-05 19:24:04+00:00","Bongo Net","deploy","L5","B40",40.512102,-70.886,"","EN627"
"162","2019-02-05 19:33:34+00:00","Bongo Net","recover","L5","B40",40.507608,-70.881883,"","EN627"
"163","2019-02-05 21:16:18+00:00","CTD911","deploy","L4","41",40.69516667,-70.87816667,"","EN627"
"164","2019-02-05 22:51:18+00:00","CTD911","deploy","L3","42",40.86183333,-70.88383333,"","EN627"
"165","2019-02-06 00:18:00+00:00","Underway Science seawater impeller","chl discrete","","",41.028885,-70.88407,"","EN627"
"166","2019-02-06 00:21:45+00:00","CTD911","deploy","L2","43",41.02833333,-70.884,"","EN627"
"167","2019-02-06 01:42:34+00:00","CTD911","deploy","L1","44",41.195,-70.883,"","EN627"
"168","2019-02-06 01:43:00+00:00","Underway Science seawater impeller","chl discrete","","",41.19513,-70.882992,"","EN627"
"169","2019-02-06 02:03:04+00:00","Bongo Net","deploy","L1","B44",41.193605,-70.881818,"","EN627"
"170","2019-02-06 02:08:00+00:00","Bongo Net","recover","L1","B44",41.191173,-70.882293,"","EN627"
"171","2019-02-06 03:45:00+00:00","Underway Science seawater impeller","chl discrete","","",41.27684,-70.636987,"","EN627"
"172","2019-02-06 04:23:26+00:00","CTD911","deploy","MVCO","45",41.32016667,-70.57233333,"","EN627"
"173","2019-02-06 04:30:00+00:00","Underway Science seawater impeller","TOI discrete","MVCO","45",41.319372,-70.573045,"in duplicate","EN627"
"174","2019-02-06 04:40:14+00:00","Bongo Net","deploy","MVCO","B45",41.318197,-70.574758,"","EN627"
"175","2019-02-06 04:44:04+00:00","Bongo Net","recover","MVCO","B45",41.317912,-70.577323,"","EN627"
"176","2019-02-06 06:54:00+00:00","Underway Science seawater impeller","TOI discrete","L1","",41.180628,-70.89417,"steam  past L1 on way in. Not quite on station","EN627"
"177","2019-02-06 07:30:04+00:00","Incubation","stop","L11","",41.193475,-70.987707,"stop of the second incubation at L11","EN627"
"178","2019-02-06 07:43:00+00:00","Attune Flow Cytometer","stop","","",41.203037,-71.005518,"","EN627"
"179","2019-02-06 11:52:11+00:00","Echosounder12","stop","","",41.39324,-71.325918,"","EN627"
"180","2019-02-06 12:12:06+00:00","IFCB continuous","stop","","",41.407463,-71.351643,"","EN627"
"181","2019-02-06 12:14:21+00:00","Underway Science seawater diaphragm pump","stop","","",41.409175,-71.354457,"","EN627"
"182","2019-02-06 12:57:06+00:00","EIMS","stop","","",41.442183,-71.405763,"","EN627"
"183","2019-02-06 13:23:51+00:00","Fluorometers on underway impeller","stop","","",41.469332,-71.40855,"","EN627"
"184","2019-02-06 13:25:51+00:00","Underway Science seawater impeller","stop","","",41.471518,-71.408413,"","EN627"
"185","2019-02-06 14:23:04+00:00","UHDAS for both ADCPs","stop","","",41.494113,-71.418313,"","EN627"
"186","2019-02-06 14:24:27+00:00","ADCP300","stop","","",41.493235,-71.418745,"","EN627"
"187","2019-02-06 14:25:05+00:00","ADCP75","stop","","",41.49285,-71.418805,"","EN627"
"188","2019-02-06 14:50:23+00:00","Ship","endCruise","","",41.492137,-71.418028,"ship still docking","EN627"
"189","2019-08-15 14:39:20+00:00","MeteorologicalSensor","start","","",41.4922,-71.4187,"Met sensors remain running and logging","EN644"
"190","2019-08-19 12:57:19+00:00","Echosounder12","start","","",41.4922,-71.4187,"start 12 KHz before leaving dock","EN644"
"191","2019-08-19 13:03:16+00:00","Ship","startCruise","","",41.4922,-71.4186,"leaving Narragansett GSO dock last line removed","EN644"
"192","2019-08-19 13:39:09+00:00","Underway Science seawater impeller","start","","",41.4219,-71.4153,"pump (magnetic impeller pump) on and water valves open to flow through system","EN644"
"193","2019-08-19 13:50:56+00:00","Thermosalinographs on underway impeller","start","","",41.3949,-71.4201,"SBE21 thermosalinograph started","EN644"
"194","2019-08-19 13:51:43+00:00","Thermosalinographs on underway impeller","start","","",41.3924,-71.4206,"SBE45 continuously running and pumps started","EN644"
"195","2019-08-19 13:52:34+00:00","Fluorometers on underway impeller","start","","",41.3899,-71.4211,"Remote Temp and ECOFluor and WETStar fluorometer and SBE21 logging data","EN644"
"196","2019-08-19 14:09:48+00:00","Underway Science seawater diaphragm pump","start","","",41.3467,-71.4225,"pump (diaphragm pump) on and water valves open to that flow through system","EN644"
"197","2019-08-19 14:10:42+00:00","UHDAS for both ADCPs","start","","",41.3442,-71.4223,"UHDAS controls the ADCP75 and ADCP300","EN644"
"198","2019-08-19 14:11:21+00:00","ADCP75","start","","",41.3415,-71.4224,"UHDAS controls the ADCP75 and ADCP300","EN644"
"199","2019-08-19 14:11:49+00:00","ADCP300","start","","",41.3415,-71.4224,"UHDAS controls the ADCP75 and ADCP300","EN644"
"200","2019-08-19 15:00:00+00:00","Other","start","","",41.289,-71.2745,"HOBO data loggger started in ondeck incubators","EN644"
"201","2019-08-19 15:08:12+00:00","IFCB continuous","start","","",41.2793,-71.2447,"on diaphragm pump system","EN644"
"202","2019-08-19 15:14:57+00:00","Ship","other","","",41.2764,-71.2328,"bridge UPS died Ship will return to Narragansett to fix the issue","EN644"
"203","2019-08-19 15:30:54+00:00","EIMS","start","","",41.2617,-71.1891,"","EN644"
"204","2019-08-19 15:36:00+00:00","Attune Flow Cytometer","other","","",41.2567,-71.1749,"2 test samples to investigate hv settings matching FCBbeadss and gates","EN644"
"205","2019-08-19 16:30:00+00:00","Attune Flow Cytometer","start","","",41.2587,-71.1454,"","EN644"
"206","2019-08-19 16:45:00+00:00","Other","end","","",41.2584,-71.142,"HOBO data loggger ended in ondeck incubators","EN644"
"207","2019-08-19 16:57:57+00:00","SUNAV2","sync time","","",41.2582,-71.139,"before C1","EN644"
"208","2019-08-19 17:10:00+00:00","Underway Science seawater impeller","chl discrete","","",41.2585,-71.1361,"","EN644"
"209","2019-08-19 17:49:00+00:00","Underway Science seawater impeller","chl discrete","","",41.2585,-71.1262,"","EN644"
"210","2019-08-19 18:00:00+00:00","Underway Science seawater impeller","chl discrete","","",41.2597,-71.1214,"","EN644"
"211","2019-08-19 20:04:00+00:00","Underway Science seawater impeller","chl discrete","","",41.384,-71.3624,"","EN644"
"212","2019-08-19 20:26:00+00:00","Underway Science seawater impeller","chl discrete","","",41.4171,-71.4029,"","EN644"
"213","2019-08-19 20:38:04+00:00","Fluorometers on underway impeller","stop","","",41.443,-71.4117,"Stop underway pump at mouth of Narragansett Bay","EN644"
"214","2019-08-19 20:38:34+00:00","Thermosalinographs on underway impeller","stop","","",41.443,-71.4117,"Stop underway pump at mouth of Narragansett Bay","EN644"
"215","2019-08-19 20:39:14+00:00","Thermosalinographs on underway impeller","stop","","",41.4452,-71.4118,"Stop underway pump at mouth of Narragansett Bay","EN644"
"216","2019-08-19 20:41:32+00:00","Underway Science seawater impeller","stop","","",41.4496,-71.4121,"Stop underway pump at mouth of Narragansett Bay","EN644"
"217","2019-08-19 20:45:03+00:00","EIMS","stop","","",41.4581,-71.4116,"underway water going off so stop eims","EN644"
"218","2019-08-19 20:47:57+00:00","Underway Science seawater diaphragm pump","stop","","",41.4623,-71.4113,"Stop underway pump at mouth of Narragansett Bay","EN644"
"219","2019-08-19 20:48:59+00:00","Attune Flow Cytometer","stop","","",41.4645,-71.4112,"pump off for transit back to GSO for repairs","EN644"
"220","2019-08-19 20:49:35+00:00","IFCB continuous","stop","","",41.4666,-71.411,"pump off for transit back to GSO for repairs","EN644"
"221","2019-08-19 20:53:17+00:00","UHDAS for both ADCPs","stop","","",41.4742,-71.4108,"Coming into Narragansett Bay. UHDAS controls the ADCP75 and ADCP300","EN644"
"222","2019-08-19 20:53:45+00:00","ADCP75","stop","","",41.4742,-71.4108,"Coming into Narragansett Bay. UHDAS controls the ADCP75 and ADCP300","EN644"
"223","2019-08-19 20:54:08+00:00","ADCP300","stop","","",41.4758,-71.4108,"Coming into Narragansett Bay. UHDAS controls the ADCP75 and ADCP300","EN644"
"224","2019-08-19 21:55:39+00:00","Echosounder12","stop","","",41.4922,-71.4187,"Alongside, GSO","EN644"
"225","2019-08-19 21:58:27+00:00","Ship","other","","",41.4922,-71.4187,"Arrival at GSO for UPS swap out","EN644"
"226","2019-08-20 12:28:42+00:00","Other","start","","",41.4922,-71.4187,"HOBO data loggger started in ondeck incubators","EN644"
